player,date,time,item,itemID,itemString,response,votes,class,instance,boss,gear1,gear2,responseID,isAwardReason,rollType,subType,equipLoc,note,owner
Wiggly-Netherwind,3/22/20,19:39:10,[Bracers of Might],16861,item:16861::::::::60,Offspec / PvP,5,WARRIOR,Molten Core-40 Player,Shazzrah,[Vambraces of the Sadist],,4,FALSE,normal,Plate,Wrist,PvP / OT,Shazzrah
Wiggly-Netherwind,3/29/20,18:18:55,[Gauntlets of Might],16863,item:16863::::::::60,Minor Upgrade,6,WARRIOR,Molten Core-40 Player,Lucifron,[Blood Guard's Plate Gauntlets],,3,FALSE,normal,Plate,Hands,,Lucifron
Wiggly-Netherwind,04/02/20,21:09:11,[Giantstalker's Bracers],16850,item:16850::::::::60,Banking,0,WARRIOR,Molten Core-40 Player,Golemagg the Incinerator,[Vambraces of the Sadist],,2,TRUE,normal,Mail,Wrist,,Golemagg the Incinerator
Wiggly-Netherwind,04/02/20,21:31:20,[Doombringer],13053,item:13053::::::::60,Offspec / PvP,0,WARRIOR,Molten Core-40 Player,Ragnaros,[Obsidian Edged Blade],,4,FALSE,normal,Two-Handed Swords,Two-Hand,,Ragnaros
Wiggly-Netherwind,3/14/20,21:35:51,[Codex: Prayer of Fortitude],17413,item:17413::::::::60,Offspec / PvP,0,WARRIOR,Onyxia's Lair-40 Player,Onyxia,,,4,FALSE,normal,Book,,,Onyxia
Wiggly-Netherwind,4/12/20,16:19:36,[Helm of Endless Rage],19372,item:19372::::::::60,Mainspec /Need,5,WARRIOR,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,[Lionheart Helm],,2,FALSE,normal,Plate,Head,I have the hit to put this on.,Vaelastrasz the Corrupt
Wiggly-Netherwind,4/16/20,19:39:13,[Sabatons of Might],16862,item:16862::::::::60,Offspec / PvP,5,WARRIOR,Molten Core-40 Player,Gehennas,[Blood Guard's Plate Greaves],,4,FALSE,normal,Plate,Feet,6th item,Gehennas
Wiggly-Netherwind,4/23/20,22:51:12,[Primal Hakkari Armsplint],19717,item:19717::::::::60,Minor Upgrade,1,WARRIOR,Zul'Gurub-20 Player,High Priestess Jeklik,,,3,FALSE,normal,Quest,,,High Priestess Jeklik
Wiggly-Netherwind,4/26/20,15:39:35,[Spineshatter],19335,item:19335::::::::60,Minor Upgrade,7,WARRIOR,Blackwing Lair-40 Player,Razorgore the Untamed,[Frostbite],,3,FALSE,normal,One-Handed Maces,Main Hand,Would use for dual wield.,Razorgore the Untamed
Wiggly-Netherwind,4/30/20,20:49:11,[Core Hound Tooth],18805,item:18805::::::::60,Mainspec /Need,4,WARRIOR,Molten Core-40 Player,Majordomo Executus,[Spineshatter],[Mirah's Song],2,FALSE,normal,Daggers,One-Hand,Off hand for dw,Majordomo Executus
Pook-Netherwind,4/16/20,19:20:01,[Cenarion Boots],16829,item:16829::::::::60,Mainspec /Need,6,DRUID,Molten Core-40 Player,Lucifron,[Omnicast Boots],,2,FALSE,normal,Leather,Feet,,Lucifron
Pook-Netherwind,4/16/20,20:13:37,[Cenarion Gloves],16831,item:16831::::::::60,Mainspec /Need,6,DRUID,Molten Core-40 Player,Shazzrah,[Dreamweave Gloves],,2,FALSE,normal,Leather,Hands,,Shazzrah
Pook-Netherwind,4/16/20,21:00:40,[Wild Growth Spaulders],18810,item:18810::::::::60,Mainspec /Need,6,DRUID,Molten Core-40 Player,Majordomo Executus,[Halycon's Muzzle],,2,FALSE,normal,Leather,Shoulder,,Majordomo Executus
Pook-Netherwind,4/19/20,11:38:21,[Primal Hakkari Sash],19720,item:19720::::::::60,Mainspec /Need,3,DRUID,Zul'Gurub-20 Player,High Priestess Jeklik,,,2,FALSE,normal,Quest,,,High Priestess Jeklik
Pook-Netherwind,4/19/20,11:56:50,[Primal Hakkari Stanchion],19718,item:19718::::::::60,Mainspec /Need,4,DRUID,Zul'Gurub-20 Player,High Priestess Mar'li,,,2,FALSE,normal,Quest,,,High Priestess Mar'li
Pook-Netherwind,4/19/20,12:21:15,[Animist's Leggings],19877,item:19877::::::::60,Mainspec /Need,4,DRUID,Zul'Gurub-20 Player,Bloodlord Mandokir,[Luminary Kilt],,2,FALSE,normal,Leather,Legs,,Bloodlord Mandokir
Wolfdude-Netherwind,3/15/20,19:24:38,[Earthfury Epaulets],16844,item:16844::::::::60,Offspec / PvP,5,SHAMAN,Molten Core-40 Player,Baron Geddon,[Splinthide Shoulders],,4,FALSE,normal,Mail,Shoulder,,Baron Geddon
Twofer-Netherwind,3/15/20,18:38:28,[Choker of Enlightenment],17109,item:17109::::::::60,Mainspec /Need,3,MAGE,Molten Core-40 Player,Lucifron,[Drakefire Amulet],,2,FALSE,normal,Miscellaneous,Neck,,Lucifron
Twofer-Netherwind,3/29/20,18:55:55,[Mana Igniting Cord],19136,item:19136::::::::60,Best Available,4,MAGE,Molten Core-40 Player,Garr,[Ban'thok Sash],,1,FALSE,normal,Cloth,Waist,,Garr
Twofer-Netherwind,3/29/20,19:57:36,[Arcanist Bindings],16799,item:16799::::::::60,Mainspec /Need,6,MAGE,Molten Core-40 Player,Majordomo Executus,[First Sergeant's Silk Cuffs],,2,FALSE,normal,Cloth,Wrist,,Majordomo Executus
Twofer-Netherwind,04/02/20,22:56:36,[Sapphiron Drape],17078,item:17078::::::::60,Mainspec /Need,4,MAGE,Onyxia's Lair-40 Player,Onyxia,[Spritecaster Cape],,2,FALSE,normal,Cloth,Back,,Onyxia
Twofer-Netherwind,04/05/20,16:36:54,[Netherwind Belt],16818,item:16818::::::::60,Offspec / PvP,6,MAGE,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,[Mana Igniting Cord],,4,FALSE,normal,Cloth,Waist,,Vaelastrasz the Corrupt
Twofer-Netherwind,04/09/20,20:01:13,[Arcanist Crown],16795,item:16795::::::::60,Mainspec /Need,5,MAGE,Molten Core-40 Player,Garr,[Dreamweave Circlet],,2,FALSE,normal,Cloth,Head,,Garr
Twofer-Netherwind,04/09/20,22:20:51,[Onyxia Hide Backpack],17966,item:17966::::::::60,Best Available,1,MAGE,Onyxia's Lair-40 Player,Onyxia,,,1,FALSE,normal,Bag,Bag,,Onyxia
Twofer-Netherwind,4/19/20,20:56:36,[Netherwind Crown],16914,item:16914::::::::60,Best Available,4,MAGE,Onyxia's Lair-40 Player,Onyxia,[Arcanist Crown],,1,FALSE,normal,Cloth,Head,,Onyxia
Ragewithinme-Netherwind,3/22/20,20:07:47,[Breastplate of Might],16865,item:16865::::::::60,Offspec / PvP,5,WARRIOR,Molten Core-40 Player,Golemagg the Incinerator,[Hydralick Armor],,4,FALSE,normal,Plate,Chest,,Golemagg the Incinerator
Ragewithinme-Netherwind,3/26/20,19:45:51,[Helm of Wrath],16963,item:16963::::::::60,Offspec / PvP,6,WARRIOR,Onyxia's Lair-40 Player,Onyxia,[Lionheart Helm],,4,FALSE,normal,Plate,Head,Offspec,Onyxia
Ragewithinme-Netherwind,3/29/20,18:25:34,[Earthshaker],17073,item:17073::::::::60,Offspec / PvP,4,WARRIOR,Molten Core-40 Player,Magmadar,[The Unstoppable Force],,4,FALSE,normal,Two-Handed Maces,Two-Hand,wouldn't mind knocking pallys on their asses,Magmadar
Ragewithinme-Netherwind,3/29/20,19:34:32,[Shadowstrike],17074,item:17074::::::::60,Offspec / PvP,6,WARRIOR,Molten Core-40 Player,Unknown,[The Unstoppable Force],,4,FALSE,normal,Polearms,Two-Hand,for the memes,Ragewithinme-Netherwind
Ragewithinme-Netherwind,04/02/20,20:51:53,[Pauldrons of Might],16868,item:16868::::::::60,Offspec / PvP,6,WARRIOR,Molten Core-40 Player,Sulfuron Harbinger,[Black Dragonscale Shoulders],,4,FALSE,normal,Plate,Shoulder,,Sulfuron Harbinger
Ragewithinme-Netherwind,04/02/20,19:31:21,[Gauntlets of Might],16863,item:16863::::::::60,Offspec / PvP,5,WARRIOR,Molten Core-40 Player,Lucifron,[Blood Guard's Plate Gauntlets],,4,FALSE,normal,Plate,Hands,2/3 might offtanking set,Lucifron
Ragewithinme-Netherwind,04/05/20,21:25:09,[Head of Onyxia],18422,item:18422::::::::60,Best Available,5,WARRIOR,Onyxia's Lair-40 Player,Onyxia,,,1,FALSE,normal,Quest,,need the hit,Onyxia
Ragewithinme-Netherwind,4/12/20,15:34:06,[The Untamed Blade],19334,item:19334::::::::60,Mainspec /Need,8,WARRIOR,Blackwing Lair-40 Player,Razorgore the Untamed,[The Unstoppable Force],,2,FALSE,normal,Two-Handed Swords,Two-Hand,"cloud legs, crusader enchant in invy",Razorgore the Untamed
Ragewithinme-Netherwind,4/16/20,20:21:45,[Flameguard Gauntlets],19143,item:19143::::::::60,Best Available,6,WARRIOR,Molten Core-40 Player,Garr,[Gauntlets of Might],,1,FALSE,normal,Plate,Hands,i use might for hit cap so give another person first,Garr
Ragewithinme-Netherwind,4/19/20,12:21:28,[Primal Hakkari Girdle],19719,item:19719::::::::60,Minor Upgrade,3,WARRIOR,Zul'Gurub-20 Player,Bloodlord Mandokir,,,3,FALSE,normal,Quest,,,Bloodlord Mandokir
Ragewithinme-Netherwind,4/19/20,13:12:17,[Tigule's Harpoon],19946,item:19946::::::::60,Offspec / PvP,1,WARRIOR,Zul'Gurub-20 Player,Gahz'ranka,[The Untamed Blade],,4,FALSE,normal,Polearms,Two-Hand,,Gahz'ranka
Ragewithinme-Netherwind,4/23/20,21:44:20,[Onslaught Girdle],19137,item:19137::::::::60,Best Available,6,WARRIOR,Molten Core-40 Player,Ragnaros,[Defiler's Plate Girdle],,1,FALSE,normal,Plate,Waist,i have rank 10 shoulders to pair with this,Ragnaros
Nevets-Netherwind,3/14/20,21:37:10,[Sapphiron Drape],17078,item:17078::::::::60,Mainspec /Need,4,WARLOCK,Onyxia's Lair-40 Player,Onyxia,[High Councillor's Cloak of Shadow Wrath],,2,FALSE,normal,Cloth,Back,,Onyxia
Nevets-Netherwind,3/29/20,19:06:24,[Felheart Shoulder Pads],16807,item:16807::::::::60,Offspec / PvP,5,WARLOCK,Molten Core-40 Player,Baron Geddon,[Felcloth Shoulders],,4,FALSE,normal,Cloth,Shoulder,,Baron Geddon
Nevets-Netherwind,04/02/20,20:35:41,[Felheart Slippers],16803,item:16803::::::::60,Offspec / PvP,7,WARLOCK,Molten Core-40 Player,Shazzrah,[Blood Guard's Dreadweave Walkers],,4,FALSE,normal,Cloth,Feet,,Shazzrah
Nevets-Netherwind,04/05/20,15:31:24,[Mantle of the Blackwing Cabal],19370,item:19370::::::::60,Best Available,7,WARLOCK,Blackwing Lair-40 Player,Razorgore the Untamed,[Felcloth Shoulders],,1,FALSE,normal,Cloth,Shoulder,its BiS baby get rid of my green shoulders LOL,Razorgore the Untamed
Nevets-Netherwind,04/09/20,19:49:03,[Robe of Volatile Power],19145,item:19145::::::::60,Best Available,4,WARLOCK,Molten Core-40 Player,Gehennas,[Robe of the Void],,1,FALSE,normal,Cloth,Chest,,Gehennas
Nevets-Netherwind,4/16/20,21:21:55,[Choker of the Fire Lord],18814,item:18814::::::::60,Best Available,4,WARLOCK,Molten Core-40 Player,Ragnaros,[Orb of the Darkmoon],,1,FALSE,normal,Miscellaneous,Neck,,Ragnaros
Nevets-Netherwind,3/21/20,23:22:00,[The Needler],13060,item:13060::::::::60,Offspec / PvP,0,WARLOCK,Onyxia's Lair-40 Player,Onyxia,[Staff of Dominance],,4,FALSE,normal,Polearms,Two-Hand,,Onyxia
Nevets-Netherwind,4/23/20,23:57:38,[Gri'lek's Blood],19939,item:19939::::::::60,Mainspec /Need,0,WARLOCK,Zul'Gurub-20 Player,Edge of Madness,,,2,FALSE,normal,Quest,,,Edge of Madness
Nevets-Netherwind,4/24/20,0:52:16,[Primal Hakkari Idol],22637,item:22637::::::::60,Best Available,0,WARLOCK,Zul'Gurub-20 Player,Jin'do the Hexxer,,,1,FALSE,normal,Junk,,,Jin'do the Hexxer
Nevets-Netherwind,4/26/20,17:40:09,[Nemesis Gloves],16928,item:16928::::::::60,Minor Upgrade,6,WARLOCK,Blackwing Lair-40 Player,Flamegor,[Blood Guard's Dreadweave Handwraps],,3,FALSE,normal,Cloth,Hands,,Flamegor
Uboat-Netherwind,3/22/20,19:36:33,[Nightslayer Boots],16824,item:16824::::::::60,Mainspec /Need,6,ROGUE,Molten Core-40 Player,Shazzrah,[Swiftwalker Boots],,2,FALSE,normal,Leather,Feet,4/8 nightslayer currently,Shazzrah
Uboat-Netherwind,3/26/20,19:46:42,[Masterwork Breastplate of the Whale],10266,item:10266::::::1063:21951360:60,Offspec / PvP,1,ROGUE,Onyxia's Lair-40 Player,Onyxia,[Nightslayer Chestpiece],,4,FALSE,normal,Mail,Chest,,Onyxia
Uboat-Netherwind,04/02/20,21:31:10,[Cloak of the Shrouded Mists],17102,item:17102::::::::60,Best Available,5,ROGUE,Molten Core-40 Player,Ragnaros,[Frostwolf Legionnaire's Cloak],,1,FALSE,normal,Cloth,Back,this is a BIS item,Ragnaros
Uboat-Netherwind,04/05/20,17:51:53,[Venomous Totem],19342,item:19342::::::::60,Offspec / PvP,5,ROGUE,Blackwing Lair-40 Player,Broodlord Lashlayer,[Hand of Justice],[Blackhand's Breadth],4,FALSE,normal,Miscellaneous,Trinket,,Broodlord Lashlayer
Uboat-Netherwind,04/09/20,19:36:03,[Nightslayer Pants],16822,item:16822::::::::60,Best Available,5,ROGUE,Molten Core-40 Player,Magmadar,[Devilsaur Leggings],,1,FALSE,normal,Leather,Legs,,Magmadar
Grandeoso-Netherwind,3/29/20,20:07:27,[Dragon's Blood Cape],17107,item:17107::::::::60,Mainspec /Need,3,DRUID,Molten Core-40 Player,Ragnaros,[The Emperor's New Cape],,2,FALSE,normal,Cloth,Back,,Ragnaros
Grandeoso-Netherwind,04/02/20,19:31:24,[Cenarion Boots],16829,item:16829::::::::60,Offspec / PvP,7,DRUID,Molten Core-40 Player,Lucifron,[Corehound Boots],,4,FALSE,normal,Leather,Feet,,Lucifron
Grandeoso-Netherwind,04/02/20,19:37:45,[Medallion of Steadfast Might],17065,item:17065::::::::60,Mainspec /Need,5,DRUID,Molten Core-40 Player,Magmadar,[Talisman of Evasion],,2,FALSE,normal,Miscellaneous,Neck,,Magmadar
Grandeoso-Netherwind,4/19/20,15:35:11,[Stormrage Bracers],16904,item:16904::::::::60,Mainspec /Need,7,DRUID,Blackwing Lair-40 Player,Razorgore the Untamed,[Cenarion Bracers],,2,FALSE,normal,Leather,Wrist,,Razorgore the Untamed
Grandeoso-Netherwind,4/19/20,11:57:08,[Blooddrenched Mask],22718,item:22718::::::::60,Mainspec /Need,4,DRUID,Zul'Gurub-20 Player,High Priestess Mar'li,[Mask of the Unforgiven],,2,FALSE,normal,Leather,Head,,High Priestess Mar'li
Grandeoso-Netherwind,4/23/20,23:26:25,[Primal Hakkari Tabard],19722,item:19722::::::::60,Offspec / PvP,1,DRUID,Zul'Gurub-20 Player,Bloodlord Mandokir,,,4,FALSE,normal,Quest,,,Bloodlord Mandokir
Grandeoso-Netherwind,4/24/20,0:53:27,[Primal Hakkari Tabard],19722,item:19722::::::::60,Offspec / PvP,2,DRUID,Zul'Gurub-20 Player,Jin'do the Hexxer,,,4,FALSE,normal,Quest,,,Jin'do the Hexxer
Grandeoso-Netherwind,4/24/20,0:53:30,[Animist's Boots],19892,item:19892::::::::60,Minor Upgrade,2,DRUID,Zul'Gurub-20 Player,Jin'do the Hexxer,[Cenarion Boots],,3,FALSE,normal,Leather,Feet,,Jin'do the Hexxer
Grandeoso-Netherwind,4/26/20,17:04:39,[Interlaced Shadow Jerkin],19439,item:19439::::::::60,Mainspec /Need,6,DRUID,Blackwing Lair-40 Player,Firemaw,[Forest's Embrace],,2,FALSE,normal,Leather,Chest,replace mixologist,Firemaw
Grandeoso-Netherwind,4/29/20,12:29:23,[Animist's Spaulders],19928,item:19928::::::::60,Mainspec /Need,6,DRUID,Zul'Gurub-20 Player,High Priestess Jeklik,[Cyclone Spaulders],,2,FALSE,normal,Leather,Shoulder,os,High Priestess Jeklik
Grandeoso-Netherwind,4/26/20,19:19:10,[Head of Onyxia],18422,item:18422::::::::60,Best Available,6,DRUID,Onyxia's Lair-40 Player,Unknown,,,1,FALSE,normal,Quest,,,Grandeoso-Netherwind
Grandeoso-Netherwind,4/30/20,20:07:34,[Cenarion Gloves],16831,item:16831::::::::60,Minor Upgrade,2,DRUID,Molten Core-40 Player,Shazzrah,[Gloves of Restoration],,3,FALSE,normal,Leather,Hands,,Shazzrah
Docholmes-Netherwind,03/07/20,21:44:57,[Helmet of Ten Storms],16947,item:16947::::::::60,Mainspec/Need,3,SHAMAN,Onyxia's Lair-40 Player,Onyxia,[Helm of the Lifegiver],,1,FALSE,normal,Mail,Head,,Onyxia
Docholmes-Netherwind,3/15/20,20:35:35,[Band of Sulfuras],19138,item:19138::::::::60,Mainspec /Need,6,SHAMAN,Molten Core-40 Player,Ragnaros,[Fordring's Seal],[Tidal Loop],2,FALSE,normal,Miscellaneous,Finger,,Ragnaros
Docholmes-Netherwind,3/22/20,20:37:39,[Malistar's Defender],17106,item:17106::::::::60,Offspec / PvP,4,SHAMAN,Molten Core-40 Player,Ragnaros,[Lei of the Lifegiver],,4,FALSE,normal,Shields,Off Hand,,Ragnaros
Docholmes-Netherwind,3/29/20,18:18:48,[Earthfury Boots],16837,item:16837::::::::60,Best Available,7,SHAMAN,Molten Core-40 Player,Lucifron,[Boots of the Full Moon],,1,FALSE,normal,Mail,Feet,,Lucifron
Docholmes-Netherwind,04/05/20,17:51:44,[Greaves of Ten Storms],16949,item:16949::::::::60,Best Available,1,SHAMAN,Blackwing Lair-40 Player,Broodlord Lashlayer,[Earthfury Boots],,1,FALSE,normal,Mail,Feet,,Broodlord Lashlayer
Docholmes-Netherwind,4/23/20,21:10:21,[Earthfury Vestments],16841,item:16841::::::::60,Mainspec /Need,5,SHAMAN,Molten Core-40 Player,Golemagg the Incinerator,[Robes of the Exalted],,2,FALSE,normal,Mail,Chest,need for 3 and 5 set,Golemagg the Incinerator
Docholmes-Netherwind,4/26/20,15:49:47,[Pendant of the Fallen Dragon],19371,item:19371::::::::60,Mainspec /Need,5,SHAMAN,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,[Animated Chain Necklace],,2,FALSE,normal,Miscellaneous,Neck,,Vaelastrasz the Corrupt
Docholmes-Netherwind,4/26/20,18:39:46,[Epaulets of Ten Storms],16945,item:16945::::::::60,Mainspec /Need,10,SHAMAN,Blackwing Lair-40 Player,Chromaggus,[Earthfury Epaulets],,2,FALSE,normal,Mail,Shoulder,,Chromaggus
Yahmosa-Netherwind,04/02/20,22:56:57,[Head of Onyxia],18422,item:18422::::::::60,Best Available,3,DRUID,Onyxia's Lair-40 Player,Onyxia,,,1,FALSE,normal,Quest,,,Onyxia
Yahmosa-Netherwind,4/19/20,17:55:01,[Rune of Metamorphosis],19340,item:19340::::::::60,Mainspec /Need,6,DRUID,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,[Vigilance Charm],[Mark of Tyranny],2,FALSE,normal,Miscellaneous,Trinket,,Vaelastrasz the Corrupt
Yahmosa-Netherwind,4/23/20,19:38:01,[Medallion of Steadfast Might],17065,item:17065::::::::60,Offspec / PvP,4,DRUID,Molten Core-40 Player,Magmadar,[Onyxia Tooth Pendant],,4,FALSE,normal,Miscellaneous,Neck,,Magmadar
Yahmosa-Netherwind,4/23/20,21:15:35,[Finkle's Lava Dredger],18803,item:18803::::::::60,Mainspec /Need,6,DRUID,Molten Core-40 Player,Majordomo Executus,[Unyielding Maul],,2,FALSE,normal,Two-Handed Maces,Two-Hand,PVP OFFSPEC,Majordomo Executus
Yahmosa-Netherwind,4/23/20,21:47:34,[Essence of the Pure Flame],18815,item:18815::::::::60,Offspec / PvP,1,DRUID,Molten Core-40 Player,Ragnaros,[Hand of Justice],[Rune of the Guard Captain],4,FALSE,normal,Miscellaneous,Trinket,FUN TANK ITEM NOT BIS,Ragnaros
Wilb-Netherwind,3/15/20,18:57:39,[Ring of Spell Power],19147,item:19147::::::::60,Best Available,3,MAGE,Molten Core-40 Player,Gehennas,[Seal of Rivendare],[Band of Sulfuras],1,FALSE,normal,Miscellaneous,Finger,,Gehennas
Wilb-Netherwind,3/22/20,16:11:02,[Netherwind Belt],16818,item:16818::::::::60,Mainspec /Need,7,MAGE,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,[Arcanist Belt],,2,FALSE,normal,Cloth,Waist,This will be 3 set for me!,Vaelastrasz the Corrupt
Wilb-Netherwind,3/29/20,16:17:44,[Mind Quickening Gem],19339,item:19339::::::::60,Best Available,7,MAGE,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,[Burst of Knowledge],[Eye of the Beast],1,FALSE,normal,Miscellaneous,Trinket,,Vaelastrasz the Corrupt
Wilb-Netherwind,3/29/20,20:07:31,[Netherwind Pants],16915,item:16915::::::::60,Best Available,6,MAGE,Molten Core-40 Player,Ragnaros,[Legionnaire's Silk Legguards],,1,FALSE,normal,Cloth,Legs,,Ragnaros
Wilb-Netherwind,04/05/20,18:46:55,[Netherwind Gloves],16913,item:16913::::::::60,Best Available,7,MAGE,Blackwing Lair-40 Player,Firemaw,[Blood Guard's Silk Handwraps],,1,FALSE,normal,Cloth,Hands,5 set!,Firemaw
Wilb-Netherwind,4/16/20,19:27:09,[Mana Igniting Cord],19136,item:19136::::::::60,Best Available,4,MAGE,Molten Core-40 Player,Magmadar,[Netherwind Belt],,1,FALSE,normal,Cloth,Waist,,Magmadar
Wilb-Netherwind,4/19/20,13:07:38,[Band of Servitude],22721,item:22721::::::::60,Best Available,2,MAGE,Zul'Gurub-20 Player,High Priestess Arlokk,[Ring of Spell Power],[Band of Sulfuras],1,FALSE,normal,Miscellaneous,Finger,,High Priestess Arlokk
Wilb-Netherwind,4/26/20,20:30:01,"[Mish'undare, Circlet of the Mind Flayer]",19375,item:19375::::::::60,Best Available,8,MAGE,Blackwing Lair-40 Player,Nefarian,[Netherwind Crown],,1,FALSE,normal,Cloth,Head,Best in slot!,Nefarian
Rickrak-Netherwind,3/15/20,19:14:03,[Circlet of Prophecy],16813,item:16813::::::::60,Mainspec /Need,4,PRIEST,Molten Core-40 Player,Garr,[Crimson Felt Hat],,2,FALSE,normal,Cloth,Head,,Garr
Rickrak-Netherwind,3/29/20,19:44:28,[Robes of Prophecy],16815,item:16815::::::::60,Minor Upgrade,5,PRIEST,Molten Core-40 Player,Golemagg the Incinerator,[Truefaith Vestments],,3,FALSE,normal,Cloth,Chest,would be 6/8 for set,Golemagg the Incinerator
Rickrak-Netherwind,3/29/20,19:52:12,[The Eye of Divinity],18646,item:18646::::::::60,Best Available,7,PRIEST,Molten Core-40 Player,Majordomo Executus,[Second Wind],[Royal Seal of Eldre'Thalas],1,FALSE,normal,Miscellaneous,Trinket,,Majordomo Executus
Rickrak-Netherwind,04/02/20,20:26:04,[Earthfury Epaulets],16844,item:16844::::::::60,Disenchant,0,PRIEST,Molten Core-40 Player,Baron Geddon,[Kentic Amice],,1,TRUE,normal,Mail,Shoulder,,Baron Geddon
Rickrak-Netherwind,04/02/20,20:26:15,[Felheart Shoulder Pads],16807,item:16807::::::::60,Disenchant,0,PRIEST,Molten Core-40 Player,Baron Geddon,[Kentic Amice],,1,TRUE,normal,Cloth,Shoulder,,Baron Geddon
Rickrak-Netherwind,04/02/20,20:35:54,[Arcanist Gloves],16801,item:16801::::::::60,Disenchant,0,PRIEST,Molten Core-40 Player,Shazzrah,[Gloves of Prophecy],,1,TRUE,normal,Cloth,Hands,,Shazzrah
Rickrak-Netherwind,04/02/20,21:30:00,[Dragonstalker's Legguards],16938,item:16938::::::::60,Disenchant,0,PRIEST,Molten Core-40 Player,Ragnaros,[Padre's Trousers],,1,TRUE,normal,Mail,Legs,,Ragnaros
Rickrak-Netherwind,04/02/20,22:54:31,[Dragonstalker's Helm],16939,item:16939::::::::60,Disenchant,0,PRIEST,Onyxia's Lair-40 Player,Onyxia,[Circlet of Prophecy],,1,TRUE,normal,Mail,Head,,Onyxia
Rickrak-Netherwind,04/09/20,20:45:33,[Mantle of Prophecy],16816,item:16816::::::::60,Mainspec /Need,6,PRIEST,Molten Core-40 Player,Sulfuron Harbinger,[Kentic Amice],,2,FALSE,normal,Cloth,Shoulder,,Sulfuron Harbinger
Rickrak-Netherwind,4/12/20,16:19:16,[Belt of Transcendence],16925,item:16925::::::::60,Mainspec /Need,6,PRIEST,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,[Girdle of Prophecy],,2,FALSE,normal,Cloth,Waist,1/8,Vaelastrasz the Corrupt
Rickrak-Netherwind,4/12/20,18:10:09,[Rejuvenating Gem],19395,item:19395::::::::60,Best Available,4,PRIEST,Blackwing Lair-40 Player,Firemaw,[Second Wind],[Royal Seal of Eldre'Thalas],1,FALSE,normal,Miscellaneous,Trinket,,Firemaw
Rickrak-Netherwind,4/16/20,20:00:59,[Earthfury Epaulets],16844,item:16844::::::::60,Disenchant,0,PRIEST,Molten Core-40 Player,Baron Geddon,[Mantle of Prophecy],,1,TRUE,normal,Mail,Shoulder,,Baron Geddon
Rickrak-Netherwind,4/16/20,21:54:47,[Halo of Transcendence],16921,item:16921::::::::60,Best Available,5,PRIEST,Onyxia's Lair-40 Player,Onyxia,[Circlet of Prophecy],,1,FALSE,normal,Cloth,Head,2/8,Onyxia
Rickrak-Netherwind,3/21/20,23:22:48,[Master's Gloves of the Eagle],10251,item:10251::::::877:1558081536:60,Offspec / PvP,0,PRIEST,Onyxia's Lair-40 Player,Onyxia,[Gloves of Prophecy],,4,FALSE,normal,Cloth,Hands,,Onyxia
Rickrak-Netherwind,4/16/20,23:40:26,[Primal Hakkari Aegis],19724,item:19724::::::::60,Offspec/Greed,3,PRIEST,Zul'Gurub-20 Player,Bloodlord Mandokir,,,2,FALSE,normal,Quest,,,Bloodlord Mandokir
Rickrak-Netherwind,4/17/20,0:06:49,[Primal Hakkari Sash],19720,item:19720::::::::60,Offspec/Greed,1,PRIEST,Zul'Gurub-20 Player,High Priest Thekal,,,2,FALSE,normal,Quest,,,High Priest Thekal
Rickrak-Netherwind,4/17/20,0:53:13,[Primal Hakkari Stanchion],19718,item:19718::::::::60,Offspec/Greed,3,PRIEST,Zul'Gurub-20 Player,Jin'do the Hexxer,,,2,FALSE,normal,Quest,,,Jin'do the Hexxer
Rickrak-Netherwind,4/23/20,19:29:56,[Felheart Gloves],16805,item:16805::::::::60,Disenchant,0,PRIEST,Molten Core-40 Player,Lucifron,[Gloves of Prophecy],,1,TRUE,normal,Cloth,Hands,,Lucifron
Rickrak-Netherwind,4/23/20,19:46:45,[Nightslayer Gloves],16826,item:16826::::::::60,Disenchant,0,PRIEST,Molten Core-40 Player,Gehennas,[Gloves of Prophecy],,1,TRUE,normal,Leather,Hands,,Gehennas
Rickrak-Netherwind,4/23/20,20:16:17,[Earthfury Epaulets],16844,item:16844::::::::60,Disenchant,0,PRIEST,Molten Core-40 Player,Baron Geddon,[Mantle of Prophecy],,1,TRUE,normal,Mail,Shoulder,,Baron Geddon
Rickrak-Netherwind,4/23/20,20:16:25,[Felheart Shoulder Pads],16807,item:16807::::::::60,Disenchant,0,PRIEST,Molten Core-40 Player,Baron Geddon,[Mantle of Prophecy],,1,TRUE,normal,Cloth,Shoulder,,Baron Geddon
Rickrak-Netherwind,4/23/20,20:54:44,[Mantle of Prophecy],16816,item:16816::::::::60,Disenchant,0,PRIEST,Molten Core-40 Player,Sulfuron Harbinger,[Mantle of Prophecy],,1,TRUE,normal,Cloth,Shoulder,,Sulfuron Harbinger
Rickrak-Netherwind,4/23/20,21:44:57,[Legplates of Ten Storms],16946,item:16946::::::::60,Disenchant,0,PRIEST,Molten Core-40 Player,Ragnaros,[Padre's Trousers],,1,TRUE,normal,Mail,Legs,,Ragnaros
